Sujeto,Tarea,Mu_C3_T0,Beta_C3_T0,Mu_Cz_T0,Beta_Cz_T0,Mu_C4_T0,Beta_C4_T0,Mu_C3_T1,Beta_C3_T1,Mu_Cz_T1,Beta_Cz_T1,Mu_C4_T1,Beta_C4_T1,Mu_C3_T2,Beta_C3_T2,Mu_Cz_T2,Beta_Cz_T2,Mu_C4_T2,Beta_C4_T2
S001,Movimiento Real,21.22538497090124,37.45360526841678,36.955633813399004,36.348131395032155,23.421777936970326,41.13695879563963,33.70070151196812,70.11080166566765,29.548745135115105,84.32544456294971,32.013693899292456,55.86287785319144,23.238912644752123,52.21613295649363,33.88246278498102,52.75236949239042,47.34798931453044,71.6037593080492
S001,Imaginacion Motora,25.838796208398584,52.99567296570216,26.849901668500966,42.57479160010756,23.164767996782103,41.30724799299367,30.57104598794822,49.94397852600272,37.18588447066268,44.19538698516276,27.822448291896198,39.882011406679034,20.53369121935312,54.29498040972068,21.022901573053005,44.8076072245017,24.300470899150145,46.6782296257523
S002,Movimiento Real,7.398968448088897,20.588869679022643,16.229173426321765,48.68079617982381,6.478909168409496,15.011725895574145,29.921213998212735,51.48381087912407,30.3412412684183,69.23289618270516,19.885556589149147,24.876253401804146,18.322164153271494,33.2429546008192,14.846203760585414,70.87169102485255,17.932507385960516,29.07600208638937
S002,Imaginacion Motora,16.018833139476456,25.73038088916068,16.908537466941375,47.73830818084856,10.176402603648851,17.407109573896605,26.958925481506114,40.29313069609263,14.459581284284063,48.36795892093004,11.299455996254718,14.340776822614837,9.688304857341672,21.58966691959591,14.501712838718946,56.316921705994176,11.419384696396438,21.60978202032872
S003,Movimiento Real,41.09944693626875,37.364506578776044,50.32447380923435,26.84715771347783,41.70861830610249,36.71996887317841,33.44793251149814,38.944591284599454,34.34020049409447,27.93812216042358,27.62730759959734,36.27547990938066,19.74350737798954,38.062191692538775,24.145623280311224,25.507325094412977,33.36807751412678,35.114195650059926
S003,Imaginacion Motora,22.527296759456235,49.7944019131237,30.539868160886613,32.44047820150746,29.502709662736343,33.980593137889116,34.369646854406824,48.0305380169331,34.49509792577733,35.12280400171421,38.93620448193238,37.35471948097938,40.18260025566437,49.439535776853596,58.58929622561248,35.381068356392554,61.66987517903726,38.717673299432306
S004,Movimiento Real,2.8275767216834136,7.563903246065931,2.9175044837430675,9.847266728167885,4.017238533754839,7.964384608220956,4.581835240828142,9.973130534537363,4.193371808333996,6.4566128593971115,4.157038299160456,7.4886945745161,5.130818748808289,8.951973721478295,3.5670022299508646,10.66221317771709,4.79262268591078,12.011776795396026
S004,Imaginacion Motora,5.416237310305795,14.595985877346097,4.693813029865888,11.79403659349002,5.251526200391784,15.504778739542672,3.1401694192487395,10.851729394158783,3.318418444399735,7.794115583085798,4.254496162107953,11.368745666829621,3.0170672911682015,10.828515839880131,2.7994469197045087,9.269379160634097,4.6962926920134995,15.397783090769106
S005,Movimiento Real,6.0372287766429364,15.247796486856055,7.594187409340892,11.12090288242835,6.397497904979049,14.888122773278583,5.254244034998411,10.995679696068933,8.337341651460276,9.60601651175375,4.106548154234149,13.686946217344518,5.334342173985125,12.160884519665258,7.609601646457443,9.817013729041157,4.656938028719209,14.98011760579415
S005,Imaginacion Motora,5.424646191954955,9.495284004342173,8.725372988052602,11.530480645760768,8.60741365105059,15.423671417798335,5.375380941644413,8.358022199972474,7.922401098865234,9.061714992606564,4.8579566331589,11.729109279278173,4.369862350117173,8.531348385804861,5.68486842235742,8.30730541909684,5.4737425201294885,15.186311349954591
S006,Movimiento Real,4.286845519369624,14.83513271726492,3.1701862217977443,8.023347475305416,3.468751101711314,11.69363336079419,5.700727942064617,16.87337162822543,4.54562950541682,7.970279869293242,4.924326733499727,12.297696085063848,5.094358819607491,15.755091125610964,2.5790480421056734,8.175499308002289,5.384498950949745,12.779844260144085
S006,Imaginacion Motora,3.749120893534497,14.602203644118823,3.063616494816878,7.378442006026017,4.6910231511995715,15.531273546454681,4.217807367141636,13.063894990734248,3.9657572802724954,5.709537871886913,5.328716101674836,10.399302817293503,4.678653547338756,14.804491287014462,3.196806381105741,9.125938552248254,4.923869140011475,19.593476055648576
S007,Movimiento Real,16.550106259722238,26.787503937238967,21.77581943064563,19.651482343497737,16.59119684005188,21.089312292661976,24.243073438397772,29.84462185890113,23.9520651232058,17.075109099321793,21.929620670263763,20.540385540956866,19.654912775611344,30.83090136887463,34.82991002829075,20.4676051027264,30.912590423940983,25.258929664468248
S007,Imaginacion Motora,38.91402144086762,35.44510696267807,33.576076504551,22.361087437364432,29.927393428600972,25.886784096821277,27.431432993110764,39.220334684752025,25.51042767710921,20.15674675411416,20.303401425946756,20.04967342916879,21.18412313252228,29.793864102383047,27.858508363184786,18.714130397076353,24.748133113636037,28.058316523544327
S008,Movimiento Real,8.005182073284063,17.438494661871335,13.052732716261046,11.521379924608295,9.289987752316042,12.366797697256324,9.024811022719623,15.742130707180378,27.6585942835162,12.743581594328175,9.584440917919684,12.072712051075085,12.117382617471229,21.81110677014371,32.45240821066306,17.413339264839134,18.939264267001192,24.207931388817528
S008,Imaginacion Motora,6.825727137413683,13.226275099327882,10.138082815459144,11.472482480255744,9.649407214851125,13.814634024875046,11.941371856888281,14.780169222860284,26.305775341439638,13.798656082489307,13.135042319533433,17.206079791163123,12.839306831535625,13.201175430482971,20.174963738607474,13.058332150960082,15.01438714301501,15.127670425602316
S009,Movimiento Real,33.870052674754234,188.69085414822746,34.4069152892547,82.8046656945381,39.94810262370372,361.6482982268729,28.902780774556202,221.6422042241603,43.692439631774114,95.47517321530256,43.22288044943698,319.42813911264534,45.37886610940874,196.24443455018303,41.947238908443786,79.68292673381374,38.75177711928285,316.39639769070925
S009,Imaginacion Motora,37.636833810969165,137.8584227728811,42.59460714101301,66.4348949586586,26.444705619421036,127.91043951308323,26.916129838819977,140.99816992959006,21.587377352370964,60.86211114685887,27.120685425227066,126.17076234138979,38.82041392029961,108.22116314647535,48.32081915385043,65.2811323723681,38.34700784058133,119.91266961806977
S010,Movimiento Real,39.81016231931584,51.75598472983288,40.225558738878846,36.77763521719784,65.2203473626933,51.760174700491845,42.673288216894846,60.361656115875945,40.376263646346324,33.47814474112502,45.15806932935189,46.16639937642197,36.536220533566855,55.175435567961706,45.050639512338215,45.28804728103561,55.47091973307686,60.73402815072025
S010,Imaginacion Motora,30.712000515462005,39.653771576358096,42.73325487152991,39.92584149439121,43.36415686289581,49.879887488281184,25.904226360377706,42.66958556147443,40.4917325953497,39.85748291536244,54.379425669203115,57.077276927891155,40.71107873625389,51.78692102862569,38.517514325145896,42.62393230573534,85.92425062940319,62.63521265124784
S011,Movimiento Real,2.6933013190380977,5.1118262221839155,4.885693855983739,5.523406658299617,4.315744141723638,5.631327110306125,2.8727852031979775,5.104010985005644,6.1850886955974795,6.632579924970198,4.0983073186152135,7.894422589762058,5.247734641490553,4.6523454500718575,5.236273882910949,5.4782186663236425,4.115752581326555,4.538484494137514
S011,Imaginacion Motora,3.1933310585223977,5.376370972485549,3.7716835627213134,5.940917939766845,3.247574290001637,5.664964096867661,4.016048835881752,6.300847764900987,6.2363393822747195,7.5459453933918965,4.318906465015037,6.062170603299838,3.809314053304495,5.480325378199941,6.683391533798207,6.886441295237869,5.240368695628991,6.037600518278022
S012,Movimiento Real,8.746667303094803,17.775636468054685,9.750758706783248,8.560917917658452,8.775871730158343,11.871970563058458,5.914279536895829,18.140529159123187,6.458563461382589,9.444583119946657,6.072107240581757,14.648678971457715,3.69741184298682,16.811730695958186,6.674901345422247,8.132050591882589,7.060765653063348,11.679663218090415
S012,Imaginacion Motora,6.407266950833766,13.941168652823544,6.572337191228682,7.811732667336087,6.652525248064356,10.417979074994681,7.682776689731953,16.415077835049992,7.819887444782923,7.901375440782662,5.769790954947031,13.159110779993885,5.895095215347806,15.637570654485337,8.057698627957697,8.955815978002825,6.247993525508328,13.430231684880363
S013,Movimiento Real,37.96638589035597,185.81135202569658,38.66115859355135,85.48974724073928,25.34498696301163,96.85720374366439,28.92142392901206,160.07867376525826,33.527963348399425,96.69915095711103,17.50061650739079,97.11121050814148,37.73124609980559,174.6803641302073,24.471465920772793,78.8089317974091,21.633442354799076,118.80707353246653
S013,Imaginacion Motora,24.362069927155087,123.711459683304,28.75053658185108,123.17123307527386,19.402418580713384,94.89676586614739,25.400807671771894,145.92964022137102,36.33777686679692,125.23306811129616,37.27467171476031,111.20280856004152,36.716700459861926,124.08836766503542,38.19171792644497,83.68582459913597,41.328773310165204,115.13770202780493
S014,Movimiento Real,19.885348439615495,25.805084880553576,18.009353397658657,14.492179885766411,26.310993403752217,32.15354161676903,19.271320377294167,27.68522703640957,16.86092298162162,15.429384205620956,19.733082604238785,32.928786222090295,18.783708828644247,29.410865034138972,16.47274641282266,20.093049490580622,24.271149199936225,40.58886348153336
S014,Imaginacion Motora,27.73625357707565,27.777945017620343,23.17371942222202,16.150325423032854,26.53553553326988,29.808324779184026,18.53788523474701,25.45293182832324,27.793340282073288,14.597092728765288,27.24500387380129,28.692476256709398,29.83658763591819,27.830000919990535,37.25644444192884,15.907499943058776,26.825423604664515,24.747627978261054
S015,Movimiento Real,31.431454974349723,112.10870986244524,42.77566174498326,90.2708729602557,41.263093876679115,114.60066559150646,81.78216863987305,138.63838989658205,62.97078003504725,93.44976324971262,42.10989157445398,121.76455474361697,50.288739684763,132.79981522856366,44.226136910529355,87.58031357754838,49.04668027112186,103.212078771844
S015,Imaginacion Motora,38.40746854292297,131.15800499307258,43.0666484953725,98.643576584098,42.86195483499919,120.61475066847767,60.29006019579458,107.08491787966531,48.657064292502945,78.61073214822405,46.6226367855351,104.06957245456583,63.32749152273435,140.40588426627738,55.14842218740427,73.01045496584413,78.92711159498363,125.27888946350855
S016,Movimiento Real,7.328975956139229,11.576856562055347,9.920093767757855,11.08214591375897,8.377889833522287,14.257904288453435,9.092263255877986,11.665388241936682,13.334072585704961,10.097484757088573,6.937980891613788,14.217940784872797,6.1540247359462965,10.614822570384892,6.774733652691537,10.533616254137184,7.4587336862648295,16.977234937126834
